Id2,Geography,Id,Population Group,Estimate; SEX AND AGE - Total population,Margin of Error; SEX AND AGE - Total population,Estimate; SEX AND AGE - Total population - Male,Margin of Error; SEX AND AGE - Total population - Male,Estimate; SEX AND AGE - Total population - Female,Margin of Error; SEX AND AGE - Total population - Female,Estimate; SEX AND AGE - Under 5 years,Margin of Error; SEX AND AGE - Under 5 years,Estimate; SEX AND AGE - 5 to 17 years,Margin of Error; SEX AND AGE - 5 to 17 years,Estimate; SEX AND AGE - 18 to 24 years,Margin of Error; SEX AND AGE - 18 to 24 years,Estimate; SEX AND AGE - 25 to 34 years,Margin of Error; SEX AND AGE - 25 to 34 years,Estimate; SEX AND AGE - 35 to 44 years,Margin of Error; SEX AND AGE - 35 to 44 years,Estimate; SEX AND AGE - 45 to 54 years,Margin of Error; SEX AND AGE - 45 to 54 years,Estimate; SEX AND AGE - 55 to 64 years,Margin of Error; SEX AND AGE - 55 to 64 years,Estimate; SEX AND AGE - 65 to 74 years,Margin of Error; SEX AND AGE - 65 to 74 years,Estimate; SEX AND AGE - 75 years and over,Margin of Error; SEX AND AGE - 75 years and over,Estimate; SEX AND AGE - Median age (years),Margin of Error; SEX AND AGE - Median age (years),Estimate; SEX AND AGE - Under 18 years,Margin of Error; SEX AND AGE - Under 18 years,Estimate; SEX AND AGE - Under 18 years - Male,Margin of Error; SEX AND AGE - Under 18 years - Male,Estimate; SEX AND AGE - Under 18 years - Female,Margin of Error; SEX AND AGE - Under 18 years - Female,Estimate; SEX AND AGE - 18 years and over,Margin of Error; SEX AND AGE - 18 years and over,Estimate; SEX AND AGE - 18 years and over - Male,Margin of Error; SEX AND AGE - 18 years and over - Male,Estimate; SEX AND AGE - 18 years and over - Female,Margin of Error; SEX AND AGE - 18 years and over - Female,Estimate; SEX AND AGE - 18 to 34 years,Margin of Error; SEX AND AGE - 18 to 34 years,Estimate; SEX AND AGE - 18 to 34 years - Male,Margin of Error; SEX AND AGE - 18 to 34 years - Male,Estimate; SEX AND AGE - 18 to 34 years - Female,Margin of Error; SEX AND AGE - 18 to 34 years - Female,Estimate; SEX AND AGE - 35 to 64 years,Margin of Error; SEX AND AGE - 35 to 64 years,Estimate; SEX AND AGE - 35 to 64 years - Male,Margin of Error; SEX AND AGE - 35 to 64 years - Male,Estimate; SEX AND AGE - 35 to 64 years - Female,Margin of Error; SEX AND AGE - 35 to 64 years - Female,Estimate; SEX AND AGE - 65 years and over,Margin of Error; SEX AND AGE - 65 years and over,Estimate; SEX AND AGE - 65 years and over - Male,Margin of Error; SEX AND AGE - 65 years and over - Male,Estimate; SEX AND AGE - 65 years and over - Female,Margin of Error; SEX AND AGE - 65 years and over - Female,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school diploma,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than high school diploma,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency),Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency),Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college or associate's degree,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college or associate's degree,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher,Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher,"Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher - Male, high school graduate or higher","Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher - Male, high school graduate or higher","Estimate; EDUCATIONAL ATTAINMENT - High school graduate or higher - Female, high school graduate or higher","Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate or higher - Female, high school graduate or higher",Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher,Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher,"Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Male, bachelor's degree or higher","Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Male, bachelor's degree or higher","Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Female, bachelor's degree or higher","Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree or higher - Female, bachelor's degree or higher",Estimate; FERTILITY - Women 15 to 50 years,Margin of Error; FERTILITY - Women 15 to 50 years,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households,Margin of Error; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households - Median household income (dollars),Margin of Error; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Households - Median household income (dollars)
44,Rhode Island,2,White alone,858236,5406,48.3,0.2,51.7,0.2,4.6,0.2,13.6,0.2,10.3,0.1,12.4,0.2,11.5,0.1,15.1,0.2,14.7,0.1,9.6,0.1,8.3,0.1,43.1,0.3,155587,2786,51.5,0.7,48.5,0.7,702649,3659,47.6,0.2,52.4,0.2,194673,2285,50,0.5,50,0.5,354384,2057,48.5,0.2,51.5,0.2,153592,952,42.5,0.2,57.5,0.2,614180,3050,11.8,0.7,29,1,27.1,0.8,19.1,0.8,13.1,0.6,88.2,0.7,87.6,1,88.8,0.9,32.2,1.1,33.2,1.5,31.3,1.2,198462,2123,347756,3837,59487,1971
44,Rhode Island,4,Black or African American alone,70600,3924,51.4,1.5,48.6,1.5,7.7,1.2,23.3,1.5,11.8,1.4,16.5,1.5,14.3,1.2,11,1,8.7,0.8,3.6,0.8,3.1,1,29.2,1.2,21865,2271,52,3.7,48,3.7,48735,2300,51.1,1.8,48.9,1.8,19962,1472,54,4.1,46,4.1,24020,1354,50.3,2.7,49.7,2.7,4753,741,43.2,5,56.8,5,40405,2139,18.3,3.4,32.2,4.2,29.6,3.5,12.3,2.4,7.6,2.1,81.7,3.4,80.8,4.8,82.5,3.8,19.9,3,20.5,5.3,19.3,3.7,18251,1278,23218,1610,35772,4532
45,South Carolina,2,White alone,3254145,8625,49.2,0.1,50.8,0.1,5.3,0.1,14.8,0.1,9.2,0.1,12.4,0.1,12.5,0.1,13.7,0.1,13.8,0.1,11.1,0.1,7.2,0.1,41.9,0.2,654156,4331,51,0.3,49,0.3,2599989,5736,48.7,0.1,51.3,0.1,702199,4523,51,0.3,49,0.3,1302703,3543,49,0.1,51,0.1,595087,1579,45.3,0.1,54.7,0.1,2300509,5640,11.1,0.4,28.5,0.5,30.1,0.5,19.5,0.4,10.9,0.4,88.9,0.4,87.6,0.5,90.2,0.5,30.4,0.5,31,0.6,29.8,0.7,733237,3463,1291107,9186,51912,524
45,South Carolina,4,Black or African American alone,1320373,6935,46.8,0.3,53.2,0.3,6.6,0.2,18.4,0.3,12,0.3,13.6,0.3,12.4,0.2,13.2,0.3,12.5,0.1,7.3,0.1,4.1,0.1,34.6,0.3,329430,5031,50.6,1.1,49.4,1.1,990943,4429,45.6,0.1,54.4,0.1,337912,4102,48.5,0.6,51.5,0.6,501787,4288,45.3,0.4,54.7,0.4,151244,1059,40,0.3,60,0.3,832934,4796,19.9,0.8,36.7,1,28.7,0.9,9,0.6,5.7,0.4,80.1,0.8,77.7,1.1,82,1,14.7,0.7,11.1,0.9,17.6,0.9,347805,3631,469589,6450,30333,648
45,South Carolina,12,Asian alone (400-499),68976,2531,46.7,2,53.3,2,5.9,1.3,16.5,1.6,13.4,2.2,13.9,2.7,16.2,2.2,15.2,2.6,8.5,1.7,7.4,1.7,2.9,1.1,35.1,1.6,15496,1238,50.2,4.9,49.8,4.9,53480,2262,45.7,2,54.3,2,18838,2210,50.2,5,49.8,5,27531,2317,42.4,3.2,57.6,3.2,7111,1349,46.3,7.3,53.7,7.3,44264,2159,11.9,2.5,18.6,3.6,21.1,3.9,26.3,3.6,22.1,4,88.1,2.5,91.7,3.4,85.2,3.2,48.4,4.6,50.6,5.8,46.6,5.3,20125,1515,21751,1755,51325,5285
45,South Carolina,70,Some other race alone,69517,8565,55.7,3.2,44.3,3.2,9.2,1.5,26.5,3.1,8.9,2,19.6,3.6,16.8,2.7,10.7,2.3,6,1.6,1.1,0.6,1.1,0.8,27.7,1.6,24803,4126,51.6,5.8,48.4,5.8,44714,5415,58,4,42,4,19820,4092,62,6.1,38,6.1,23332,3161,55,5.1,45,5.1,1562,701,53.1,15.6,46.9,15.6,38494,4664,52,5.6,24.9,4.9,15.8,3.4,5.2,2.2,2.1,1,48,5.6,45.2,6.4,51.9,7.7,7.3,2.5,4.4,2,11.2,5,16782,2591,18466,2600,30761,4400
46,South Dakota,2,White alone,724768,2261,50.3,0.2,49.7,0.2,6.2,0.1,15.9,0.1,9.6,0.1,12.7,0.1,11.3,0.1,13.1,0.1,14.2,0.1,9,0.1,8,0.1,40.2,0.4,159874,1341,51.8,0.6,48.2,0.6,564894,1589,49.8,0.1,50.2,0.1,161356,1069,52,0.3,48,0.3,280217,1095,50.6,0.2,49.4,0.2,123321,499,45.3,0.2,54.7,0.2,495309,1500,7,0.5,30.6,0.9,33.2,0.9,21.2,1,8.1,0.6,93,0.5,91.8,0.8,94.1,0.6,29.2,1,27.7,1.2,30.7,1.3,155282,1407,302264,2901,52971,1534
46,South Dakota,6,"American Indian and Alaska Native alone (300, A01-Z99)",71811,2506,50.7,1.8,49.3,1.8,11,1.1,27.9,1.2,11.7,1.3,15.6,1.5,10.4,1.1,10.6,1.2,6.7,0.9,3.7,0.6,2.4,0.7,24.7,0.8,27909,1607,49.7,3,50.3,3,43902,1464,51.4,2,48.6,2,19596,1586,54.5,3.4,45.5,3.4,19913,1291,49.2,3.1,50.8,3.1,4393,672,47.7,7.5,52.3,7.5,35489,1310,18.3,2.8,36.7,3.7,35.6,3.5,7.2,1.8,2.2,0.9,81.7,2.8,80.4,3.2,83,3.5,9.5,2,6.3,1.8,12.7,3.2,16633,1032,17961,1301,24651,3232
47,Tennessee,2,White alone,5084404,7598,48.9,0.1,51.1,0.1,5.5,0.1,15.5,0.1,9,0.1,12.5,0.1,12.8,0.1,14.1,0.1,13.6,0.1,10,0.1,6.9,0.1,41,0.1,1067410,4218,51.2,0.3,48.8,0.3,4016994,4606,48.3,0.1,51.7,0.1,1093409,3524,49.9,0.2,50.1,0.2,2060470,3620,49.1,0.1,50.9,0.1,863115,1355,44.4,0.1,55.6,0.1,3560975,4674,13.4,0.3,33.3,0.4,26.9,0.4,17.1,0.3,9.4,0.3,86.6,0.3,85.8,0.4,87.3,0.4,26.4,0.4,26.6,0.6,26.2,0.4,1179115,4664,2008853,10453,47887,686
47,Tennessee,4,Black or African American alone,1105318,7359,47.4,0.3,52.6,0.3,7.3,0.2,19.1,0.3,12.2,0.3,14.4,0.3,13.2,0.2,12.9,0.2,11.6,0.2,5.8,0.2,3.4,0.1,32.9,0.4,292282,5166,51.1,0.8,48.9,0.8,813036,4527,46.1,0.3,53.9,0.3,294671,3749,48.3,0.6,51.7,0.6,416420,3447,46.2,0.4,53.8,0.4,101945,2011,39.1,0.9,60.9,0.9,677696,3341,15.3,0.8,35.8,1.1,30.7,1,11.6,0.8,6.6,0.5,84.7,0.8,83.4,1.2,85.8,1,18.2,0.8,15.4,1.1,20.5,1.1,298137,2857,402170,5894,31071,809
47,Tennessee,12,Asian alone (400-499),102508,3823,46,1.6,54,1.6,6.9,0.8,16.2,1.3,8.9,1.1,18.3,1.6,18,1.7,13,1.6,9.3,1,6.4,1.1,2.9,0.7,34.8,0.8,23655,1913,49.4,4.3,50.6,4.3,78853,2664,44.9,1.5,55.1,1.5,27948,1738,46.6,3.1,53.4,3.1,41305,1891,45.4,1.8,54.6,1.8,9600,1353,38.2,5.1,61.8,5.1,69706,2653,15.5,2.6,18.7,3.1,15.6,2.4,27.2,3.3,23,2.8,84.5,2.6,87.1,3.3,82.3,3.1,50.2,3.4,52.7,4.4,48.1,4.3,32043,1894,31695,1949,66118,4497
47,Tennessee,70,Some other race alone,99109,8028,55.4,2.2,44.6,2.2,12.5,1.6,28,1.9,11.3,1.7,21.3,2,15.1,1.9,7.1,1.4,2.9,1,1.7,0.9,0.1,0.1,24.2,1.5,40160,4351,52.6,3.9,47.4,3.9,58949,4913,57.3,2.4,42.7,2.4,32348,3326,57.6,3.6,42.4,3.6,24802,2697,57.5,4.3,42.5,4.3,1799,962,47.7,15.8,52.3,15.8,47739,3958,52.7,4.4,25.8,3.5,11.3,2.7,7.5,2.4,2.7,1.6,47.3,4.4,43.1,5.9,52.7,5.2,10.3,2.8,9.8,3.5,10.9,3.8,25073,2560,25142,2447,29035,3447
48,Texas,2,White alone,20265860,39583,49.8,0.1,50.2,0.1,7,0.1,18.6,0.1,9.8,0.1,14,0.1,13.2,0.1,12.9,0.1,11.6,0.1,7.5,0.1,5.3,0.1,35.4,0.1,5184516,18019,51.2,0.2,48.8,0.2,15081344,27878,49.3,0.1,50.7,0.1,4841871,14259,51.2,0.1,48.8,0.1,7645818,18269,49.6,0.1,50.4,0.1,2593655,5829,44.7,0.1,55.3,0.1,13086629,25634,17.5,0.2,25.1,0.2,29.3,0.2,18.8,0.2,9.4,0.1,82.5,0.2,82,0.2,83.1,0.2,28.1,0.2,28.4,0.3,27.9,0.3,4895618,14544,7109368,21687,56256,360
48,Texas,4,Black or African American alone,3234898,16292,48.4,0.2,51.6,0.2,7,0.1,19.8,0.2,11.6,0.2,15.1,0.2,14.1,0.1,13.2,0.2,10.7,0.1,5.3,0.1,3.1,0.1,32.7,0.2,868093,9423,51.1,0.6,48.9,0.6,2366805,10553,47.4,0.2,52.6,0.2,865728,7871,49.8,0.4,50.2,0.4,1226350,6903,47.2,0.2,52.8,0.2,274727,3875,40.8,0.6,59.2,0.6,1990097,10398,12.1,0.4,29.5,0.7,36.7,0.6,14.1,0.5,7.7,0.4,87.9,0.4,87,0.6,88.8,0.5,21.8,0.6,19.5,0.8,23.7,0.9,883023,8289,1161566,10401,39280,968
48,Texas,6,"American Indian and Alaska Native alone (300, A01-Z99)",121708,9067,49.8,2.1,50.2,2.1,6.1,1.3,21.2,1.8,8.9,1.3,14.6,1.7,14.6,1.6,13.8,1.4,10.6,1.4,6.7,1,3.5,0.6,34.5,1.5,33189,4152,51.8,4.2,48.2,4.2,88519,6246,49.1,2.2,50.9,2.2,28658,3309,49.9,4.9,50.1,4.9,47448,3874,51.3,2.8,48.7,2.8,12413,1557,38.8,6.2,61.2,6.2,77689,5643,22.2,1.8,26.6,3.1,34.2,2.9,11.9,1.9,5.1,1,77.8,1.8,75.2,3.2,80.3,2.7,17,2.1,17.2,3.1,16.7,2.7,31272,3544,42398,2970,45836,2628
48,Texas,12,Asian alone (400-499),1161951,9196,48.5,0.3,51.5,0.3,6.2,0.2,16.6,0.3,9.1,0.2,17.8,0.3,18.1,0.3,13.7,0.3,10.1,0.2,5.6,0.2,2.8,0.1,35.2,0.2,264572,5746,50,0.8,50,0.8,897379,6104,48,0.3,52,0.3,312787,3787,49.2,0.6,50.8,0.6,486655,4446,47.6,0.4,52.4,0.4,97937,1837,46.5,0.9,53.5,0.9,791102,5972,13.1,0.7,13.2,0.9,15.8,0.8,30.9,0.9,27,1,86.9,0.7,88.4,0.9,85.5,0.9,57.9,1.1,61.4,1.3,54.7,1.2,340802,3912,373317,6925,76928,2326
48,Texas,70,Some other race alone,1488773,36237,51.8,0.5,48.2,0.5,8.3,0.4,22.1,0.6,12.4,0.5,17,0.5,15.1,0.5,12.4,0.5,7.3,0.4,3.4,0.3,2.1,0.2,29.1,0.5,451982,14937,51.8,1.3,48.2,1.3,1036791,26263,51.8,0.7,48.2,0.7,437694,11662,54.4,1.4,45.6,1.4,517266,17308,50.9,0.9,49.1,0.9,81831,5514,43.2,2.3,56.8,2.3,852735,23152,41.9,1.1,27.5,0.9,21.2,0.9,6.9,0.5,2.5,0.3,58.1,1.1,58.3,1.6,58,1.3,9.3,0.5,8.9,0.8,9.9,0.9,398953,12022,421018,10917,40139,906
49,Utah,2,White alone,2568018,10207,50.2,0.1,49.8,0.1,8.2,0.1,21.6,0.1,11,0.1,14.7,0.1,13.1,0.1,10.6,0.1,9.9,0.1,6.3,0.1,4.6,0.1,31.3,0.2,764364,5160,51.5,0.3,48.5,0.3,1803654,6310,49.6,0.1,50.4,0.1,660878,4353,50.3,0.2,49.7,0.2,862927,3700,50.1,0.1,49.9,0.1,279849,1048,46.2,0.2,53.8,0.2,1520106,5108,6.5,0.3,22.6,0.5,38.6,0.6,21.5,0.5,10.8,0.3,93.5,0.3,93.2,0.5,93.7,0.4,32.3,0.6,35.5,0.8,29.2,0.7,631303,3483,830858,5003,62170,651
49,Utah,12,Asian alone (400-499),66060,2726,47.2,1.4,52.8,1.4,4.5,1,16.6,1.6,13.4,1.7,19.9,1.7,16.2,1.5,11.8,1.3,10.3,1,4.3,0.7,3.1,0.8,32.6,0.7,13914,1519,54.8,4.6,45.2,4.6,52146,1815,45.1,1.4,54.9,1.4,21975,1416,48.2,2.4,51.8,2.4,25264,1474,43.7,2.5,56.3,2.5,4907,573,38.8,3.5,61.2,3.5,43289,1699,14.1,2.8,20.1,4.4,23.3,3.1,25.8,3.3,16.8,3,85.9,2.8,86.3,3.7,85.6,3.2,42.5,4.6,45,5.4,40.6,5.1,21108,1162,18902,1376,67412,6904
49,Utah,70,Some other race alone,138510,10255,52.6,1.8,47.4,1.8,11,1.3,26.1,1.8,11.9,1.7,17.2,1.7,16.1,1.5,10.5,1.1,4.9,1,1.8,0.5,0.5,0.2,25.7,1.2,51361,5004,50.6,3.4,49.4,3.4,87149,6428,53.7,2,46.3,2,40332,4329,54.9,3.4,45.1,3.4,43752,3694,53.7,2.5,46.3,2.5,3065,787,39.5,11.8,60.5,11.8,70682,4993,43,4,31.2,3.4,17.9,2.7,6.5,1.7,1.3,0.6,57,4,57,5.4,57,4.9,7.9,1.8,8.3,2.3,7.4,2.8,37183,3093,32497,2258,41712,3968
50,Vermont,2,White alone,591853,1756,49.2,0.1,50.8,0.1,4.7,0.1,14.1,0.1,10.5,0.1,11.4,0.1,11.4,0.1,14.8,0.1,15.7,0.1,10.3,0.1,7.2,0.1,43.6,0.2,111085,650,51.5,0.4,48.5,0.4,480768,1501,48.7,0.1,51.3,0.1,129046,645,50.5,0.2,49.5,0.2,248166,983,49.1,0.1,50.9,0.1,103556,647,45.6,0.2,54.4,0.2,418916,1380,7.3,0.7,31.1,1,26.5,1,21,0.8,14.1,0.7,92.7,0.7,91.7,0.9,93.6,0.8,35.1,1,33.3,1.3,36.7,1.2,133253,863,247618,2965,54669,1682
51,Virginia,2,White alone,5739681,13500,49.6,0.1,50.4,0.1,5.5,0.1,15,0.1,9.5,0.1,13.4,0.1,12.9,0.1,14.5,0.1,13.4,0.1,9.3,0.1,6.5,0.1,40.4,0.2,1174994,6690,51.2,0.3,48.8,0.3,4564687,8912,49.2,0.1,50.8,0.1,1314722,6574,51.5,0.2,48.5,0.2,2340614,6650,49.6,0.1,50.4,0.1,909351,1985,44.6,0.1,55.4,0.1,4021929,8222,10,0.3,24.2,0.4,26.7,0.4,22.3,0.3,16.8,0.3,90,0.3,88.9,0.4,91,0.3,39.1,0.4,39.6,0.5,38.6,0.5,1347573,7159,2238669,12122,70387,673
51,Virginia,4,Black or African American alone,1601449,10701,47.6,0.3,52.4,0.3,6.2,0.2,17.8,0.2,11.7,0.3,14.5,0.3,12.9,0.3,14,0.2,12,0.2,6.5,0.2,4.3,0.1,34.8,0.3,384865,5935,50.9,0.8,49.1,0.8,1216584,7107,46.5,0.2,53.5,0.2,420028,5423,49.1,0.6,50.9,0.6,623619,4969,46.6,0.4,53.4,0.4,172937,2275,39.6,0.6,60.4,0.6,1028755,6417,15.5,0.6,30.6,0.7,32.2,0.8,13.1,0.6,8.7,0.5,84.5,0.6,83.2,1,85.6,0.6,21.7,0.8,19,1.1,24,1,425478,5407,581308,7387,43846,1431
51,Virginia,12,Asian alone (400-499),510871,6813,46.7,0.5,53.3,0.5,5.6,0.4,16.5,0.5,9.1,0.5,16.9,0.5,18.2,0.4,14.2,0.4,10.2,0.3,6,0.4,3.3,0.3,36.1,0.4,112903,3522,48.2,1.4,51.8,1.4,397968,4733,46.3,0.4,53.7,0.4,132888,3728,48.7,1.1,51.3,1.1,217448,2824,45.3,0.6,54.7,0.6,47632,1798,44.3,1.5,55.7,1.5,351312,4508,11.2,0.9,13.1,1.1,17.7,1,29.4,1.1,28.5,1.3,88.8,0.9,90.6,1.2,87.2,1,57.9,1.3,62.4,1.9,54.2,1.5,152313,2872,151935,3655,92255,3764
51,Virginia,70,Some other race alone,174873,12257,52.2,2,47.8,2,9.8,1.2,21,1.7,12.5,1.6,20.4,1.6,17.5,1.6,10.1,1.4,6,1.1,1.8,0.6,0.8,0.4,28,1,53974,5583,50.8,3.8,49.2,3.8,120899,8303,52.8,2.1,47.2,2.1,57588,4853,53.8,3.5,46.2,3.5,58673,4962,52.2,2.3,47.8,2.3,4638,1278,47.1,12.4,52.9,12.4,98956,7148,29,3.7,27.9,3.8,23.4,3.1,12.7,2.2,7.1,1.7,71,3.7,70,4.4,72.1,4.7,19.8,2.6,21.3,3.4,18.3,3.4,50980,4627,44315,3964,53147,5333
53,Washington,2,White alone,5484997,15746,50,0.1,50,0.1,5.6,0.1,15,0.1,8.8,0.1,13.7,0.1,12.7,0.1,13.9,0.1,14.1,0.1,9.5,0.1,6.6,0.1,40.3,0.2,1133065,7470,51.1,0.3,48.9,0.3,4351932,9957,49.6,0.1,50.4,0.1,1236690,5847,51.7,0.2,48.3,0.2,2236169,5615,50.1,0.1,49.9,0.1,879073,1944,45.7,0.1,54.3,0.1,3867238,7944,7.8,0.2,23.2,0.3,35.5,0.4,21.4,0.3,12.1,0.3,92.2,0.2,91.5,0.3,92.8,0.3,33.5,0.5,34.3,0.6,32.6,0.6,1251810,5590,2213353,9940,62357,544
53,Washington,4,Black or African American alone,251336,7633,54.5,1.1,45.5,1.1,6.8,0.6,18,1.3,11.7,1,16.5,0.9,14.6,0.8,13.8,0.6,10.7,0.5,5.3,0.3,2.7,0.3,33.4,0.8,62251,5046,50.1,3,49.9,3,189085,3786,55.9,1.1,44.1,1.1,70674,3399,56.3,2.3,43.7,2.3,98173,2472,56.7,1.3,43.3,1.3,20238,900,50.6,2.2,49.4,2.2,159787,3431,12.5,1.4,25.2,1.9,40.5,2.1,13.8,1.6,8,0.9,87.5,1.4,89.7,1.5,84.7,2.5,21.8,2,23.6,2.7,19.5,2.4,60809,2444,89256,3673,43296,3861
53,Washington,6,"American Indian and Alaska Native alone (300, A01-Z99)",95613,4947,48.3,1.6,51.7,1.6,7.2,1,20.6,1.7,11.5,1.4,15.1,1.6,12.5,1.4,13.2,1.6,10.8,1.2,5.9,0.8,3.2,0.7,31.8,1.1,26564,2438,52.3,3.6,47.7,3.6,69049,3441,46.8,2,53.2,2,25413,2010,51.9,3.5,48.1,3.5,34940,1959,45.4,2.6,54.6,2.6,8696,1153,37.7,5.6,62.3,5.6,58087,2972,17.9,2.1,31.8,3,39.7,2.6,7.1,1.7,3.4,1.1,82.1,2.1,81.9,3.2,82.2,3.2,10.6,2,9.7,2.6,11.3,2.5,24352,1862,32228,1914,37856,4073
53,Washington,12,Asian alone (400-499),554101,5778,46,0.5,54,0.5,5.4,0.3,14.3,0.5,10,0.4,17.5,0.4,16.8,0.4,13.6,0.3,11.2,0.3,6.8,0.2,4.4,0.2,36.6,0.4,108884,3850,49.1,1.4,50.9,1.4,445217,4401,45.3,0.4,54.7,0.4,152273,2994,49.3,1,50.7,1,230724,2954,44,0.5,56,0.5,62220,1346,40.1,0.9,59.9,0.9,390076,4165,13.6,1.1,15.7,1.1,22.6,1.1,28.3,1.3,19.8,1,86.4,1.1,88.4,1.3,84.9,1.3,48.2,1.5,53.2,2.1,44.1,1.7,161823,2564,181459,4609,75039,3148
53,Washington,70,Some other race alone,247151,14847,53,1.3,47,1.3,9.5,1.1,23.5,1.3,14.6,1.4,16.9,1.2,15.9,1.1,10.9,1.1,5.6,0.7,2.5,0.6,0.6,0.2,26.2,0.8,81598,6823,50.3,2.6,49.7,2.6,165553,10254,54.3,1.4,45.7,1.4,77943,5863,54.9,2.6,45.1,2.6,79950,5843,55,1.7,45,1.7,7660,1603,42.3,6.4,57.7,6.4,129442,7876,42,3.3,24,2.3,22.9,2.3,8,1.5,3.1,0.9,58,3.3,58,4,57.9,4,11.2,1.7,10.9,2.2,11.5,2.5,66608,4712,65442,4232,45208,3166
54,West Virginia,2,White alone,1731464,2718,49.2,0.1,50.8,0.1,5.3,0.1,14.8,0.1,8.9,0.1,11.6,0.1,12.4,0.1,13.8,0.1,14.9,0.1,10.6,0.1,7.7,0.1,42.8,0.2,346860,1458,51.2,0.5,48.8,0.5,1384604,2145,48.7,0.1,51.3,0.1,355286,1453,50.5,0.2,49.5,0.2,712413,1229,49.5,0.1,50.5,0.1,316905,765,44.9,0.1,55.1,0.1,1229852,2302,14.9,0.6,41.6,0.7,24.6,0.5,11.6,0.4,7.3,0.3,85.1,0.6,83.9,0.8,86.2,0.7,18.9,0.5,18.2,0.7,19.6,0.6,381748,2377,698621,6279,41686,677
54,West Virginia,4,Black or African American alone,68279,3377,54.1,2.2,45.9,2.2,6.2,1.2,15.9,1.9,14.7,2.6,15.9,2.7,12.3,2.1,12,2.1,10.1,1.3,6.7,1.1,6.1,1.1,33.1,2.2,15086,2000,52.5,5.5,47.5,5.5,53193,2441,54.6,2.4,45.4,2.4,20879,2512,58.6,4.4,41.4,4.4,23539,1829,57,3.5,43,3.5,8775,905,38.7,5.5,61.3,5.5,43173,2010,12.5,2.3,36.3,4.5,32.9,3.9,12.4,3,5.8,2.5,87.5,2.3,89.2,2.8,85.6,4,18.2,3.8,21.2,5.2,14.9,4.5,14149,1741,23921,1601,30044,3291
55,Wisconsin,2,White alone,4966282,7475,49.7,0.1,50.3,0.1,5.3,0.1,15.3,0.1,9.2,0.1,12.2,0.1,11.9,0.1,14.8,0.1,14.5,0.1,9.2,0.1,7.6,0.1,41.9,0.2,1023441,4224,51.5,0.2,48.5,0.2,3942841,4411,49.3,0.1,50.7,0.1,1063650,2986,51,0.1,49,0.1,2046476,2889,50.2,0.1,49.8,0.1,832715,1340,44.8,0.1,55.2,0.1,3486346,3934,7.2,0.2,32.2,0.3,31.1,0.3,19.8,0.3,9.6,0.2,92.8,0.2,92,0.3,93.5,0.2,29.4,0.4,28.3,0.4,30.5,0.5,1107318,3550,2069151,8019,55619,413
55,Wisconsin,4,Black or African American alone,363916,4394,48.2,0.6,51.8,0.6,7.9,0.4,23.2,0.6,12.6,0.5,15.3,0.5,12.6,0.5,12.1,0.5,9.4,0.3,4.3,0.2,2.5,0.1,29.1,0.4,113436,2842,48.5,1.1,51.5,1.1,250480,2798,48.1,0.6,51.9,0.6,101640,2283,49.8,1.2,50.2,1.2,124088,1902,47.8,0.8,52.2,0.8,24752,702,42.2,1.4,57.8,1.4,204550,2234,18.2,1.5,32.9,1.7,36.1,1.5,8,1,4.9,0.6,81.8,1.5,80,2.2,83.4,1.7,12.8,1.2,11.8,1.6,13.7,1.7,99519,2202,126151,3253,26053,1345
